ModelID,PatientID,CellLineName,StrippedCellLineName,DepmapModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode
ACH-000001,PT-gj46wT,NIH:OVCAR-3,NIHOVCAR3,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000002,PT-5qa3uk,HL-60,HL60,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000003,PT-puKIyc,CACO2,CACO2,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000004,PT-q4K2cp,HEL,HEL,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000005,PT-q4K2cp,HEL 92.1.7,HEL9217,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000006,PT-ej13Dz,MONO-MAC-6,MONOMAC6,AMOL,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,AMOL
ACH-000007,PT-NOXwpH,LS513,LS513,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000008,PT-fp8PeY,A101D,A101D,MEL,Skin,Melanoma,Melanoma,MEL
ACH-000009,PT-puKIyc,C2BBe1,C2BBE1,COAD,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000011,PT-AR7W9o,253J,253J,BLCA,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000012,PT-NdspH5,HCC-827,HCC827,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000013,PT-gj46wT,ONCO-DG-1,ONCODG1,HGSOC,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000014,PT-fp8PeY,Hs 294T,HS294T,MEL,Skin,Melanoma,Melanoma,MEL
ACH-000015,PT-ffwajI,NCI-H1581,NCIH1581,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000016,PT-JnARLB,SLR 21,SLR21,CCRCC,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000017,PT-8CE6ah,SK-BR-3,SKBR3,BRCA,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA
ACH-000018,PT-Mi0cKz,T24,T24,BLCA,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000019,PT-viJKnw,MCF7,MCF7,BRCA,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA
ACH-000020,PT-GMWtlF,MHH-CALL-2,MHHCALL2,BLL,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000021,PT-9p1WQv,NCI-H1693,NCIH1693,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000022,PT-lVglGI,PA-TU-8988S,PATU8988S,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000023,PT-lVglGI,PA-TU-8988T,PATU8988T,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000024,PT-codP7n,OPM-2,OPM2,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000025,PT-nrgozM,CH-157MN,CH157MN,MNG,CNS/Brain,Meningothelial Tumor,Meningioma,MNG
ACH-000026,PT-AR7W9o,253J-BV,253JBV,BLCA,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000027,PT-llPs5J,GOS-3,GOS3,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000028,PT-viJKnw,KPL-1,KPL1,BRCA,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA
ACH-000029,PT-NdspH5,HCC-827-GR5,HCC827GR5,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000030,PT-nDRyc6,PC-14,PC14,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000031,PT-o4NqQC,Panc 02.13,PANC0213,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000032,PT-p2KOyI,MHH-CALL-3,MHHCALL3,BLL,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000033,PT-9p1WQv,NCI-H1819,NCIH1819,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000034,PT-5qa3uk,PLB-985,PLB985,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000035,PT-5LVIPg,NCI-H1650,NCIH1650,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC
ACH-000036,PT-llPs5J,U343,U343,GB,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000037,PT-JfLphU,S-117,S117,SARCNOS,Soft Tissue,"Sarcoma, NOS","Sarcoma, NOS",SARCNOS
ACH-000038,PT-LoXnDo,EHEB,EHEB,BLL,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000039,PT-wGDMGe,SK-N-MC,SKNMC,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-000040,PT-5XnRfQ,U-118 MG,U118MG,ASTR,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000041,PT-3yDaRJ,RD-ES,RDES,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-000042,PT-QOpMVz,Panc 02.03,PANC0203,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000043,PT-rTUVZQ,Hs 895.T,HS895T,ZFIBSKI,Fibroblast,Non-Cancerous,"Fibroblast, Skin",
ACH-000044,PT-HMBfbj,MDA-MB-134-VI,MDAMB134VI,ILC,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,ILC
ACH-000045,PT-zb7Sx0,MV4-11,MV411,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000046,PT-zV8Sol,ACHN,ACHN,PRCC,Kidney,Renal Cell Carcinoma,Papillary Renal Cell Carcinoma,PRCC
ACH-000047,PT-UVwT4j,GCIY,GCIY,STAD,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000048,PT-EehOTC,TOV-112D,TOV112D,EOV,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,EOV
ACH-000049,PT-qWYYgr,HEK TE,HEKTE,ZIMMEKC,Kidney,Non-Cancerous,Immortalized Embyonic Kidney Cells,
ACH-000050,PT-HOg2sh,NCI-H929,NCIH929,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000051,PT-xfVhgW,TE 617.T,TE617T,RMS,Soft Tissue,Rhabdomyosarcoma,Rhabdomyosarcoma,RMS
ACH-000052,PT-IAac7b,A-673,A673,ES,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-000053,PT-nECHHn,KARPAS-299,KARPAS299,ALCLALKP,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,ALCLALKP
ACH-000054,PT-cVfhmE,HT-1080,HT1080,FIBS,Soft Tissue,Fibrosarcoma,Fibrosarcoma,FIBS
ACH-000055,PT-xKYZGz,D283 Med,D283MED,MBL,CNS/Brain,Embryonal Tumor,Medulloblastoma,MBL
ACH-000056,PT-QeK3sM,DOHH-2,DOHH2,DLBCLNOS,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000057,PT-codP7n,OPM-1,OPM1,PCM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000058,PT-HRqr49,ML-1,ML1,THFO,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,THFO
ACH-000059,PT-rikOUx,SUP-B15,SUPB15,BLLBCRABL1,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1,BLLBCRABL1
ACH-000060,PT-9JMXWA,Panc 10.05,PANC1005,PAAD,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000061,PT-hDGIfb,HH,HH,MTNN,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,MTNN
ACH-000062,PT-Rt0hf4,RERF-LC-MS,RERFLCMS,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000063,PT-kuvMUl,Hs 616.T,HS616T,ZFIBLYM,Fibroblast,Non-Cancerous,Fibroblast,
ACH-000064,PT-Vm8sIp,SALE,SALE,ZIMMLUNG,Lung,Non-Cancerous,Immortalized Lung Cells,
ACH-000065,PT-EsXLcC,OCI-AML5,OCIAML5,AML,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000066,PT-QxlnnP,HCC4006,HCC4006,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000067,PT-25yL7C,Hs 683,HS683,ODG,CNS/Brain,Diffuse Glioma,Oligodendroglioma,ODG
ACH-000068,PT-WEet0z,REC-1,REC1,MCL,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,MCL
